Code,TotalPrice,Area,District,Floors,Address
11772831,3250,100,quan1,4,hem
11931606,24000,120,quan1,7,hem
11813564,8000,47.84,quan1,4,hemxehoi
11927682,15500,136.8,quan1,1,hemxehoi
11661270,24500,109,quan1,6,mattien
11768257,7800,93.6,quan1,5,hem
10964487,7900,52,quan1,2,hemxehoi
11786991,6800,38.11,quan1,4,hem
11898669,12300,120,quan1,3,hem
11883226,7900,62.4,quan1,3,hemxehoi
11926905,22500,114,quan1,3,hem
11807312,14000,70.3,quan1,3,hem
11571851,15400,98,quan1,2,mattien
11937880,35800,81,quan1,4,nhahaimattien
11934925,3200,30,quan1,2,hem
11934830,24000,120,quan1,7,hem
11934735,8500,50,quan1,2,hem
11933825,2800,15.75,quan1,3,hemxehoi
11601099,7950,60,quan1,3,hemxehoi
11931608,16000,110.2,quan1,3,hem
10799274,7900,52,quan1,2,hemxehoi
11925410,25000,114,quan1,6,mattien
11925382,14000,140,quan1,2,hemxehoi
11733768,9900,60,quan1,3,hem
11737628,11900,86,quan1,5,hemxehoi
11805537,7600,30,quan1,4,mattien
11807333,9500,55,quan1,3,hemxehoi
11826836,8000,47.84,quan1,3,hemxehoi
11912771,7500,70,quan1,2,hem
11910650,11700,88,quan1,5,hemxehoi
11909849,8500,65,quan1,2,hem
11902406,6800,49,quan1,3,hem
11888768,33000,156,quan1,2,hem
11888660,14500,80,quan1,3,hem
11884289,25000,71.4,quan1,4,hem
11248401,4200,55,quan1,2,hem
11881295,6000,24,quan1,4,hemxehoi
11803060,12000,68,quan1,5,hemxehoi
11875847,14500,80,quan1,3,hemxehoi
11873526,8000,68,quan1,3,hemxehoi
11871479,14500,80,quan1,2,hemxehoi
11871400,14500,98,quan1,2,hemxehoi
11777723,3250,27,quan1,4,hem
11682736,7500,56.48,quan1,3,hem
11486703,14800,81,quan1,3,hem
10900062,38000,325,quan1,2,hem
11106432,12300,90,quan1,3,hem
11512849,19000,75,quan1,7,hemxehoi
11827748,15100,78,quan1,5,hemxehoi
11827758,15400,98,quan1,2,mattien
11492318,11500,100,quan1,4,hem
11552668,7900,52,quan1,2,hemxehoi
11526980,11500,87,quan1,4,hem
11552673,7900,52,quan1,2,hemxehoi
11597878,15000,80,quan1,3,hem
11597886,7800,52,quan1,3,hemxehoi
11597873,14900,90,quan1,6,hemxehoi
11106434,12800,96,quan1,2,hem
11209793,9300,60,quan1,5,hem
11225703,6400,73,quan1,3,hemxehoi
11812515,10500,64,quan1,4,hem
11839300,6600,49.4,quan1,3,hem
11640459,25000,108,quan1,7,hem
11641168,32000,176,quan1,7,hem
10365168,10200,88,quan1,3,hemxehoi
11800227,13000,120,quan1,3,hemxehoi
10394218,25500,120,quan1,3,mattien
11456281,11000,88,quan1,3,hemxehoi
11550954,33000,176,quan1,7,hemxehoi
11847456,36000,306.25,quan1,2,hemxehoi
11935960,13000,66.6,quan1,2,hemxehoi
11676349,8800,77,quan1,3,hemxehoi
11676128,9800,63,quan1,3,hemxehoi
11935939,3800,54,quan1,2,hem
11676203,12000,98,quan1,5,hemxehoi
11657357,25500,113.4,quan1,3,hemxehoi
11833152,25000,115,quan1,5,hemxehoi
11833211,25000,115,quan1,5,hemxehoi
11844265,25000,114,quan1,6,hemxehoi
11935859,24000,111,quan1,6,mattien
11935854,8150,55.5,quan1,3,hem
11935126,12000,48,quan1,3,hem
11935321,12000,64,quan1,3,hem
11934737,17000,95,quan1,2,hemxehoi
11844539,25000,115,quan1,5,hemxehoi
11935249,1950,21.9,quan1,3,hem
11935223,25900,178.2,quan1,3,hem
11837765,14000,69.7,quan1,4,hem
11837780,19000,72,quan1,5,hem
11837926,15000,96,quan1,2,hemxehoi
11931539,2550,25,quan1,4,mattien
11934956,1800,27.01,quan1,2,hem
11934753,8500,57.76,quan1,3,hemxehoi
11169307,14500,76.5,quan1,4,mattien
11513454,24500,165.6,quan1,2,hem
11552817,7900,52,quan1,2,hemxehoi
11544307,13200,76.5,quan1,4,mattien
11552802,25000,109.2,quan1,6,hemxehoi
11552787,12500,76,quan1,3,hemxehoi
11934467,45000,257.4,quan1,4,hemxehoi
11338411,11000,68,quan1,4,hemxehoi
10289915,12000,68.4,quan1,4,hem
11767480,25000,108,quan1,7,hem
11764571,15500,65.6,quan1,6,hem
11764182,15000,100,quan1,3,hemxehoi
11804748,6100,59,quan1,3,hemxehoi
11257319,10000,84,quan1,3,hem
10585014,9800,69,quan1,4,hem
11932883,6000,55.2,quan1,3,hemxehoi
11932846,6000,55.2,quan1,3,hemxehoi
10830014,12500,72,quan1,3,hemxehoi
11410790,9500,63,quan1,4,hem
11411005,9500,75.6,quan1,4,hem
11545578,14200,70.95,quan1,4,hemxehoi
11407892,23000,120,quan1,4,hem
11410043,14200,70.95,quan1,4,hemxehoi
9466790,11000,85,quan1,3,hemxehoi
11194281,14200,70.95,quan1,4,hemxehoi
10224951,44600,77.4,quan1,5,hem
10136421,15300,96,quan1,4,hem
11194879,9500,63,quan1,4,hem
11511556,14600,68.8,quan1,5,hem
11547912,15500,100.8,quan1,3,hemxehoi
11548371,6500,54.6,quan1,2,hem
11548503,9500,75.6,quan1,4,hem
10468583,16200,70.95,quan1,4,hemxehoi
10225344,13500,120,quan1,1,hemxehoi
10861729,6500,54.6,quan1,2,hem
11057715,14200,70.95,quan1,4,hemxehoi
11194977,6500,54.6,quan1,2,hem
11410858,6500,54.6,quan1,2,hem
11029500,11500,91,quan1,6,hem
11220089,14800,83.2,quan1,4,hem
11931618,16000,110.2,quan1,3,hem
11931409,12000,55.35,quan1,3,hem
11931397,14500,80,quan1,4,hem
11620677,8000,62.9,quan1,3,hemxehoi
11798575,25350,114,quan1,6,hemxehoi
11814800,11790,87.1,quan1,4,hemxehoi
11848988,25500,113.4,quan1,3,hemxehoi
11930853,11500,87,quan1,3,hem
11557125,13500,72,quan1,4,hem
11827761,14500,80,quan1,4,hemxehoi
11827770,12500,84,quan1,3,hemxehoi
11827776,19000,75,quan1,7,hemxehoi
11930725,9200,56,quan1,4,hemxehoi
11736686,9000,44,quan1,3,hem
11927973,4400,40.8,quan1,4,hem
11928824,14500,61.6,quan1,4,mattien
11928760,14500,93,quan1,4,hem
11928771,14000,74.2,quan1,4,hem
11928722,10200,56,quan1,4,hemxehoi
11928687,14300,64.6,quan1,4,hem
11842939,25000,70,quan1,3,hemxehoi
11928262,4950,60,quan1,3,hemxehoi
11928080,10500,56,quan1,4,hemxehoi
11927116,8500,64,quan1,3,hem
11218806,14500,84,quan1,4,hemxehoi
11926860,11900,87.1,quan1,4,hem
11841572,13500,80,quan1,4,hemxehoi
11926028,10000,56,quan1,4,hemxehoi
11922144,3500,38,quan1,3,hem
11745293,2550,21.5,quan1,2,hemxehoi
11918732,7900,48,quan1,3,hemxehoi
11092786,27500,234,quan1,5,hemxehoi
11925250,3600,38,quan1,3,hem
11925077,7900,54,quan1,2,hem
11798090,8500,62.9,quan1,2,hem
11798114,8600,46.8,quan1,4,hemxehoi
11924439,7800,68,quan1,2,hem
11924368,7800,68,quan1,2,hem
11734066,12000,126,quan1,5,hemxehoi
11809587,10300,56,quan1,4,hemxehoi
10970516,3200,36,quan1,2,hem
11915709,7900,59.5,quan1,3,hem
11339800,21800,94,quan1,7,hemxehoi
11687826,12000,56,quan1,4,nhahaimattien
11269767,4000,43,quan1,2,hem
11918185,6000,42,quan1,2,hemxehoi
11685938,7500,68,quan1,2,mattien
11367602,8500,64,quan1,4,hemxehoi
11749535,8000,68,quan1,2,hem
11807589,9500,55,quan1,4,hemxehoi
11807781,9500,55,quan1,3,hemxehoi
11735616,6200,40,quan1,3,hemxehoi
11826937,15500,75,quan1,6,hem
11833825,9500,60,quan1,4,hemxehoi
11834084,11000,65,quan1,3,hemxehoi
11686942,13000,68,quan1,4,hemxehoi
11916831,16500,60,quan1,4,hemxehoi
11149609,7500,60,quan1,4,hemxehoi
10323888,9900,84,quan1,5,hem
11562016,28000,160,quan1,4,hemxehoi
11916097,12000,120,quan1,3,hemxehoi
11444578,37000,200,quan1,4,mattien
11915213,14500,64.8,quan1,5,hem
11268721,12800,120,quan1,3,hemxehoi
9838863,16000,84,quan1,4,mattien
11915776,12000,98.6,quan1,2,hemxehoi
11001360,7400,56,quan1,4,hemxehoi
11426178,10400,56,quan1,4,hemxehoi
9846557,10500,71.4,quan1,4,hemxehoi
11672958,12300,120,quan1,3,hemxehoi
11809907,7800,51,quan1,2,hem
11914808,4200,35,quan1,2,hemxehoi
11914747,11700,76,quan1,5,hemxehoi
11569744,15000,80,quan1,4,hemxehoi
11219499,7800,60,quan1,2,hemxehoi
11138685,15000,80,quan1,6,hemxehoi
11914597,6200,54.25,quan1,2,hemxehoi
11914494,15000,94.3,quan1,2,hem
11815558,9000,85,quan1,3,hemxehoi
11914375,13900,66.3,quan1,4,hem
11829767,15000,75.6,quan1,7,hemxehoi
11729814,15500,75,quan1,6,hem
11130404,12500,76.5,quan1,4,mattien
10401458,12000,68.4,quan1,4,hem
11758091,15000,64,quan1,5,hemxehoi
11914178,8500,62.9,quan1,2,hem
11914062,7900,52,quan1,2,hemxehoi
11911351,3800,54,quan1,2,hem
11913850,14500,52.8,quan1,5,hemxehoi
11913172,9500,80,quan1,4,hemxehoi
11762890,8500,61.23,quan1,4,hemxehoi
11912648,14000,133,quan1,3,hemxehoi
11912554,12500,96,quan1,4,hemxehoi
11912487,15500,52,quan1,6,hem
11912130,7900,40,quan1,3,hem
11516428,8500,106,quan1,3,hem
11229149,11500,76,quan1,4,hemxehoi
11405488,12800,96,quan1,2,hem
11816032,9000,92.4,quan1,4,hemxehoi
11911538,8800,74,quan1,2,hemxehoi
11824952,19000,96,quan1,4,hemxehoi
11825264,24500,109,quan1,6,hemxehoi
11909398,6100,58,quan1,2,hem
11911154,14200,64,quan1,4,mattien
11811582,24500,111,quan1,6,hemxehoi
11910923,13800,64,quan1,3,hemxehoi
11910547,14000,64.6,quan1,4,hem
10954485,12000,104.5,quan1,3,hem
11910380,16500,60,quan1,4,hemxehoi
11910191,9000,80,quan1,4,hemxehoi
11824466,13000,75,quan1,4,hem
11910048,16300,96,quan1,3,hem
11910043,8800,74,quan1,2,hemxehoi
11909599,7500,54.25,quan1,3,hem
11909509,12000,56,quan1,4,hemxehoi
11909356,3650,56.8,quan1,2,hem
11908919,15000,98.9,quan1,2,hemxehoi
11640939,25000,120,quan1,3,mattien
11300482,4950,47.4,quan1,3,hemxehoi
11643996,17500,96,quan1,5,hem
11584606,12200,120,quan1,3,hem
11644788,15000,90,quan1,5,hem
11569007,6300,54.4,quan1,2,hemxehoi
11812558,14500,71.4,quan1,3,hemxehoi
11812578,14500,71.4,quan1,3,hemxehoi
11671554,12000,91,quan1,5,hemxehoi
11748725,14000,69.7,quan1,4,hem
11110213,9600,67.5,quan1,3,hem
11016665,12000,108,quan1,3,hemxehoi
10683616,11800,120,quan1,2,hemxehoi
10897701,9500,79.8,quan1,4,hemxehoi
10799545,7900,52,quan1,2,hemxehoi
11826346,23000,120,quan1,5,mattien
11903318,7800,46.8,quan1,4,hemxehoi
11903283,8000,61.2,quan1,4,hemxehoi
11815691,12000,120,quan1,3,hemxehoi
11819442,10200,52,quan1,2,hem
11902434,6500,54.6,quan1,4,hemxehoi
11374676,7500,52,quan1,4,hemxehoi
11743284,15000,84,quan1,3,hem
11901323,4100,54,quan1,2,hem
11405217,11500,56,quan1,4,hem
11234792,4500,40,quan1,2,hem
11235068,8800,60,quan1,3,hem
11235139,8500,56,quan1,3,hem
11902006,34000,84,quan1,4,nhahaimattien
11271923,8200,60,quan1,2,hem
11269859,6500,47,quan1,3,hem
11234898,7800,47,quan1,4,hem
11120763,9500,67.2,quan1,3,hem
11737011,15000,100,quan1,3,hemxehoi
11901644,11000,120,quan1,4,hem
11901019,6800,38.11,quan1,4,hem
11900712,10000,84,quan1,4,hem
11900582,7900,54,quan1,2,hem
11297010,21945,209,quan1,2,hemxehoi
11597220,14000,80,quan1,4,hem
11899781,23000,112.5,quan1,5,hem
11809254,9000,50,quan1,3,hem
11605506,25000,184,quan1,2,hemxehoi
11605584,25000,184,quan1,2,hemxehoi
11813560,26000,105.3,quan1,4,hem
11898909,1500,32,quan1,2,hem
10937164,8000,52,quan1,4,hem
11809334,11900,70,quan1,5,hemxehoi
11898561,22500,107.2,quan1,4,hem
10611538,15000,80,quan1,5,hem
10416351,12000,114,quan1,2,hem
